emoji,anger,joy,sadness,fear,surprise,disgust,anticipation,trust,pred_neg,pred_pos,pred_neut,pred_sent_score
😯,0.0809796244879114,0.08989939376660873,0.09599646490887125,0.08199808157640577,0.08155424060332925,0.0753472327769039,0.0918036102272079,0.0868375924365303,0.1243278756737709,0.2287120223045349,0.6469600796699524,0.10438414663076401
⚔,0.07339946953210465,0.07440557805204229,0.06378086842349565,0.06647989690531944,0.06866290606070088,0.05810916106729658,0.07711898830451529,0.0736608226332935,0.17328651249408722,0.18908467888832092,0.6376287341117859,0.015798166394233704
🇲🇭,0.08379732417804053,0.09270017561989315,0.06627513829001533,0.07886735785523658,0.07751733312521165,0.06122978744341902,0.08697564117274025,0.0957044332176143,0.11056909710168839,0.1657668650150299,0.7236640453338623,0.05519776791334152
🍇,0.07460380932608797,0.0954091896728842,0.07998958698739767,0.08004936855171661,0.07937428139597638,0.06711623320448089,0.08905470867691892,0.09637169937897297,0.10805175453424454,0.3434229791164398,0.5485252737998962,0.23537122458219528
👵🏼,0.07881472972011748,0.08166962699245106,0.0663081725692698,0.07039194491491096,0.0719086169809433,0.05940331149474338,0.08087525261992681,0.07779841749906383,0.10926007479429245,0.20629070699214935,0.6844492554664612,0.0970306321978569
🥃,0.0762072150719895,0.09199484285742139,0.07287803863511706,0.07610094416817018,0.07715290692685357,0.07108459225597358,0.08658792019002663,0.08737469026763017,0.04106375202536583,0.5613686442375183,0.39756762981414795,0.5203048922121525
💅🏽,0.06651427124985572,0.06584161328636222,0.05580988419573989,0.05526990852650267,0.061178965997586765,0.04615465947957786,0.06863392643564353,0.06558318218886149,0.07329701632261276,0.3742562532424927,0.552446722984314,0.3009592369198799
🚊,0.07205399880054669,0.08142342262241853,0.06845884029326296,0.0694193633634312,0.07268757301181354,0.06125970438302545,0.08155975036714072,0.08796537167006167,0.1416378915309906,0.25452920794487,0.6038329601287842,0.1128913164138794
🇧🇦,0.062069302226854715,0.06025147451539891,0.05620451965294161,0.061989013690467436,0.06059554682464468,0.03927223582789669,0.06804669162358273,0.07117204304265462,0.09933434426784515,0.1618131697177887,0.7388524413108826,0.06247882544994354
🤑,0.07342911600460293,0.07629388752259623,0.06782026277740204,0.07025075669216928,0.07132670987050241,0.05792670995805607,0.08013909494174136,0.08428454338027817,0.09907492995262146,0.3529478907585144,0.547977089881897,0.25387296080589294
🇹🇯,0.07428760244653532,0.08816335111204351,0.07181398066280643,0.0784600086500711,0.07497054640220169,0.05241206724136988,0.08411705281595057,0.09324151733560691,0.1049795150756836,0.14993318915367126,0.7450873255729675,0.04495367407798767
💹,0.06648017198500333,0.08509462014080428,0.06648017198500333,0.06648017198500333,0.07379299090335376,0.06648017198500333,0.08310021498125424,0.08310021498125424,0.2507389187812805,0.19288736581802368,0.5563737154006958,-0.057851552963256836
👑,0.06645749514718191,0.07083730952622835,0.0572992066428542,0.06081598508587833,0.06450623361671565,0.04994019272059575,0.07272748301118176,0.07344624391326109,0.07697346061468124,0.28947198390960693,0.6335545182228088,0.2124985232949257
6️⃣,0.06493122430581263,0.08272967388603455,0.06411769558826558,0.060912054571506266,0.06855249378168307,0.054925507337415115,0.07704851086520195,0.08133717740299369,0.08433422446250916,0.14201025664806366,0.7736554741859436,0.057676032185554504
⏱,0.0732522898567507,0.0777251966398758,0.06481186692789594,0.06902224552960994,0.07033259769920107,0.056673028772627955,0.07908553945856868,0.08087510989814961,0.1502109318971634,0.22770971059799194,0.6220793724060059,0.07749877870082855
🇲🇽,0.07344854799744722,0.0810825421183852,0.06783992372100171,0.07291061897836593,0.07180608626622909,0.054274323147858856,0.08056490237853593,0.08423763130756134,0.07010897248983383,0.20085696876049042,0.7290340065956116,0.13074799627065659
☢,0.07266582991214166,0.07538523494077541,0.06702134062082604,0.06993042086566731,0.07058277529390311,0.05566880652049259,0.07934367479544867,0.08361411501505743,0.5904856324195862,0.059683218598365784,0.34983110427856445,-0.5308024138212204
🇰🇿,0.07921856294766923,0.08966578118133141,0.07100446056158587,0.0737496672166698,0.0765408667023348,0.06990969122753163,0.08593702772334112,0.08718167338139038,0.105793297290802,0.17329852283000946,0.7209082245826721,0.06750522553920746
🇬🇫,0.07845612947432129,0.08432781567323087,0.06628608818094125,0.0699729657529059,0.07239261457276451,0.05997274771799695,0.08123126509182685,0.07928471327842622,0.1175045296549797,0.17582786083221436,0.7066676020622253,0.05832333117723465
📡,0.06599728997165685,0.07067224277934767,0.06342228457340375,0.05993769877841598,0.06521964440722815,0.05181214502541188,0.07328296686758319,0.07241599498426515,0.17998772859573364,0.2525942921638489,0.5674180388450623,0.07260656356811523
🇲🇾,0.06049115042977,0.06464946335555226,0.06143116521654935,0.054131762698824804,0.05991092229178428,0.042760543273925096,0.06736119208111803,0.06256651985538488,0.07591188699007034,0.1852462738752365,0.7388418316841125,0.10933438688516617
📏,0.07139069955740814,0.08560339135234092,0.06405393245684586,0.0642243008287434,0.07137685625243652,0.06633451584322632,0.08008814662469962,0.07888962393240802,0.1670590341091156,0.24219079315662384,0.5907500982284546,0.07513175904750824
🆒,0.054714235945636326,0.07665757122214673,0.0527933288604459,0.05966037361737115,0.062055135634404235,0.035223146613052224,0.06915253145536654,0.08285023968725369,0.15203183889389038,0.25389793515205383,0.5940702557563782,0.10186609625816345
🙅🏿,0.07880781894294595,0.08656413312043047,0.09153742642465115,0.08657034540879734,0.08059068912587233,0.07298015534863127,0.09048916826890335,0.08692003588889252,0.12341872602701187,0.18082724511623383,0.6957540512084961,0.057408519089221954
👴🏿,0.06837050182341048,0.06948102003551705,0.0640400629299481,0.06434540982873478,0.06616012600817005,0.04783333354179927,0.07372697467931899,0.07771551488458617,0.20451529324054718,0.15132737159729004,0.644157350063324,-0.05318792164325714
🅿️,0.07762947757291976,0.08619163103169131,0.06612740593933734,0.07087879584335131,0.07351405044801083,0.0596271608384413,0.08256025311363982,0.08646107617509599,0.16113287210464478,0.20294983685016632,0.6359173059463501,0.041816964745521545
🗾,0.06518726318493032,0.10912419502897847,0.06689415969295247,0.06695748230542228,0.07721055210308853,0.06914520436238078,0.08663733314965594,0.09880751247066535,0.16761241853237152,0.23123663663864136,0.6011509299278259,0.06362421810626984
❇️,0.07086731185634625,0.07322409702313419,0.07109590089169246,0.06791593718032236,0.06952215151558007,0.055129965187315375,0.0780074860850139,0.07815233946305951,0.07090122997760773,0.24683396518230438,0.6822648644447327,0.17593273520469666
🇱🇧,0.05945761860630593,0.10583456111922455,0.05945761860630593,0.05945761860630593,0.07075456614150404,0.05945761860630593,0.07610575181607156,0.10048337544465696,0.12203475087881088,0.15127182006835938,0.7266933917999268,0.029237069189548492
💋,0.07351373683019072,0.08301264174662178,0.06468479418386115,0.06694147243147362,0.07202798293774536,0.06898065929943019,0.08080597309393192,0.07837413632434831,0.01637125574052334,0.7320579290390015,0.25157085061073303,0.7156866732984781
👡,0.07697338897301224,0.08911314270187437,0.07925344580779001,0.07604947974729284,0.07801689656758042,0.06586361891962333,0.08787382036471078,0.09498873990766576,0.3312406837940216,0.12504693865776062,0.543712317943573,-0.206193745136261
👍🏻,0.059913840478326985,0.05651090627535219,0.054456184448481916,0.054154230439425834,0.05573387061736821,0.03260601949593258,0.0625344665631201,0.059467421817477835,0.0194439347833395,0.65456622838974,0.3259897828102112,0.6351222936064005
🈯,0.06344321117991503,0.07021566293748027,0.06665421584586893,0.06701448226619462,0.06636475305916646,0.051947702801697276,0.07444601509010097,0.07353221553383862,0.14934732019901276,0.26297855377197266,0.5876741409301758,0.1136312335729599
👏🏾,0.06568706221399911,0.059561409044155744,0.07189616581307462,0.06991450207532371,0.06536698151044265,0.03961055343672512,0.07337493025712113,0.07874188969917624,0.033150654286146164,0.6295983195304871,0.33725103735923767,0.5964476652443409
🐴,0.06872083611440283,0.0737652249345715,0.07081688190416219,0.07051162254458605,0.06974171440413901,0.05032227204787599,0.07836084508451456,0.08380241694985714,0.14879566431045532,0.31601497530937195,0.5351893901824951,0.16721931099891663
🇨🇫,0.0767396796384402,0.09359264718103212,0.07786421974807284,0.07944094125950961,0.07970147599040568,0.07102821301958644,0.08947150034559036,0.09748150280064105,0.10850553214550018,0.19117087125778198,0.7003235816955566,0.0826653391122818
💇🏼,0.05976350567051164,0.07316755672906532,0.0673435643963586,0.06231357150673715,0.06496215991540946,0.042601789156062164,0.07295668813846148,0.07721935347500918,0.01607051119208336,0.6466785073280334,0.3372510075569153,0.6306079961359501
🙋🏻,0.06523140598769649,0.07426036542202,0.06298965406272237,0.0645126996936866,0.067473103052404,0.05721884988965585,0.07580379514332726,0.07670332761033283,0.011643100529909134,0.5948174595832825,0.39353951811790466,0.5831743590533733
💼,0.07232312251269231,0.07591177118386976,0.06893660328063975,0.07077896118696143,0.07111403119105442,0.056596361278887335,0.07997607395244825,0.08375588097846048,0.08093877881765366,0.38069242238998413,0.5383687615394592,0.2997536435723305
🇬🇹,0.06742114553570383,0.07069609191252024,0.0634870790478333,0.06937981080929521,0.0671832451302094,0.04894695588964649,0.0753638028484798,0.07894323410657977,0.11666074395179749,0.1367667317390442,0.7465724945068359,0.020105987787246704
🙄,0.06880254165291741,0.08070234644145885,0.0698757580040156,0.07228075698250262,0.07088199460276841,0.05099230614754977,0.07953906742244138,0.08405341047763779,0.6206732988357544,0.07463891804218292,0.30468782782554626,-0.5460343807935715
👥,0.06996616465094838,0.07958176245492053,0.0719305180195074,0.07102802403085419,0.07159879613877414,0.05150518250017935,0.0803646048712881,0.08815843512850831,0.15263508260250092,0.2980639338493347,0.5493009686470032,0.1454288512468338
🇱🇦,0.06625524452004912,0.06102278577268275,0.06487179006972339,0.062090613262511314,0.06222390185744955,0.048302656436296235,0.06987285952533444,0.060035256114923816,0.10815945267677307,0.14524930715560913,0.7465912699699402,0.03708985447883606
👷🏿,0.0753294449147968,0.08973021855996996,0.07350366390286865,0.0713850835185604,0.0766480241470878,0.07255666799586112,0.08609783047515668,0.0890361057011686,0.16619697213172913,0.20233486592769623,0.6314681768417358,0.0361378937959671
🇯🇲,0.07497257566789252,0.08927759750299373,0.0758590821370275,0.07294025314955158,0.07608689579712472,0.06729888472920534,0.08556303188435771,0.0866442060147097,0.07806678861379623,0.20220451056957245,0.7197287082672119,0.12413772195577621
🥀,0.058982907080507116,0.09496248039961643,0.058982907080507116,0.06370153964694765,0.07018965942580346,0.058982907080507116,0.08670487340834546,0.09850145482444685,0.07872780412435532,0.47216323018074036,0.44910892844200134,0.39343542605638504
💓,0.07026032150649412,0.07103491005401366,0.053103662413066736,0.061280043295804706,0.06471964637160336,0.04913630547633961,0.07264855894990362,0.07585721479633074,0.026689065620303154,0.7109781503677368,0.2623327672481537,0.6842890847474337
🛳,0.07154260535948839,0.085757575489025,0.06971060114131548,0.07058940991592987,0.07372229227635932,0.058596060675734134,0.08270200986769798,0.0924317640002375,0.1598355919122696,0.2425614893436432,0.5976028442382812,0.0827258974313736
♉️,0.07251278359181196,0.0765980632795822,0.06874201850223484,0.070590771423661,0.07142652502864404,0.05854288982087259,0.0803480287636554,0.08368623715936277,0.10626023262739182,0.21393370628356934,0.679806113243103,0.10767347365617752
🇧🇹,0.08046771722677792,0.0846438981647503,0.07220956918867794,0.07444855628132743,0.07598182041718067,0.0673719892574258,0.08524105031315554,0.08722294431523571,0.12101864069700241,0.13949909806251526,0.7394822239875793,0.018480457365512848
🇳🇴,0.06700338137295851,0.08472130480159117,0.06411366671793894,0.06640007702547945,0.07118070021044709,0.059923835199462,0.07985903074074256,0.08684202693080578,0.14280632138252258,0.16803428530693054,0.6891593933105469,0.02522796392440796
⁉️,0.06938060379032002,0.07287318172374692,0.06050112149099227,0.06495249215797859,0.06723481953796959,0.055978069802663996,0.07556636263530642,0.07542758192238554,0.12567278742790222,0.1775544285774231,0.6967728137969971,0.051881641149520874
🔛,0.07025526138548338,0.08275977010951194,0.06890136261367866,0.06744453554164662,0.0710661996097956,0.06592911494383713,0.07971871959830062,0.07285077629894593,0.1263255774974823,0.3155660331249237,0.5581083297729492,0.1892404556274414
