unicode,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,Position,Unicode block,le_+,le_-,le_0,sent_score,sent_score_class,upper_error_class,lower_error_class,sent_polar,primary_basic_emot
1F498,💘,0.03,0.31,0.06,0.06,0.67,0.14,0.06,0.64,0.785036942,Miscellaneous Symbols and Pictographs,0.7311557788944724,0.0477386934673366,0.2211055276381909,0.6834170854271356,Positive,Positive,Positive,Positive,joy
1F499,💙,0.0,0.25,0.0,0.0,0.61,0.17,0.17,0.28,0.703047577,Miscellaneous Symbols and Pictographs,0.7628415300546448,0.0327868852459016,0.2043715846994535,0.7300546448087432,Positive,Positive,Positive,Positive,joy
1F49A,💚,0.0,0.11,0.0,0.0,0.58,0.03,0.03,0.33,0.737498972,Miscellaneous Symbols and Pictographs,0.7333333333333333,0.0777777777777777,0.1888888888888888,0.6555555555555554,Positive,Positive,Positive,Positive,joy
1F49B,💛,0.03,0.11,0.06,0.0,0.53,0.08,0.08,0.36,0.751631631,Miscellaneous Symbols and Pictographs,0.7520661157024794,0.0429752066115702,0.2049586776859504,0.7090909090909091,Positive,Positive,Positive,Positive,joy
1F49C,💜,0.0,0.11,0.06,0.06,0.47,0.11,0.08,0.31,0.730869962,Miscellaneous Symbols and Pictographs,0.6985138004246284,0.0445859872611464,0.256900212314225,0.6539278131634819,Positive,Positive,Positive,Positive,joy
1F49E,💞,0.0,0.25,0.0,0.0,0.83,0.0,0.22,0.61,0.828705997,Miscellaneous Symbols and Pictographs,0.7797101449275362,0.0405797101449275,0.1797101449275362,0.7391304347826086,Positive,Positive,Positive,Positive,joy
1F4A4,💤,0.06,0.36,0.19,0.06,0.11,0.14,0.06,0.22,0.800461854,Miscellaneous Symbols and Pictographs,0.5148148148148148,0.1444444444444444,0.3407407407407407,0.3703703703703704,Positive,Positive,Positive,Positive,anticipation
1F4A5,💥,0.44,0.19,0.19,0.31,0.11,0.14,0.31,0.08,0.587206232,Miscellaneous Symbols and Pictographs,0.2198795180722891,0.072289156626506,0.7078313253012049,0.1475903614457831,Neutral,Neutral,Neutral,Positive,anger
1F4A6,💦,0.0,0.11,0.11,0.06,0.0,0.14,0.0,0.0,0.779043752,Miscellaneous Symbols and Pictographs,0.611764705882353,0.1411764705882353,0.2470588235294117,0.4705882352941177,Positive,Positive,Positive,Positive,sadness
1F4A9,💩,0.14,0.08,0.64,0.0,0.25,0.03,0.19,0.11,0.839720048,Miscellaneous Symbols and Pictographs,0.293103448275862,0.4094827586206896,0.2974137931034483,-0.1163793103448276,Neutral,Neutral,Negative,Negative,disgust
